no,title,game,intro_id,loop_id,intro_sec,loop_sec,total_sec
1,Character Select (Arcade ver.) / TEKKEN,TEKKEN,58037268,754605713,1,7,8
2,"Marine Stadium, Japan (Arcade ver.) / TEKKEN",TEKKEN,627178386,822411253,1,41,42
3,"Chicago, U.S.A. (Arcade ver.) / TEKKEN",TEKKEN,482061063,738619648,6,44,50
4,"Sichuan, China (Arcade ver.) / TEKKEN",TEKKEN,602360491,397246857,6,54,60
5,"Angkor Wat, Cambodia (Arcade ver.) / TEKKEN",TEKKEN,942879699,200163537,8,44,52
6,Fiji (Arcade ver.) / TEKKEN,TEKKEN,268301454,959861789,1,56,57
7,"Acropolis, Greece (Arcade ver.) / TEKKEN",TEKKEN,832991567,1021491991,0,52,52
8,"Kyoto, Japan (Arcade ver.) / TEKKEN",TEKKEN,932624880,966744493,2,73,75
9,"Venezia, Italy (Arcade ver.) / TEKKEN",TEKKEN,352049330,75317978,6,48,54
10,"Windermere, U.K. (Arcade ver.) / TEKKEN",TEKKEN,189330717,923770733,1,51,52
11,"Monument Valley, U.S.A. (Arcade ver.) / TEKKEN",TEKKEN,449727494,324755237,21,45,66
12,Staff Roll & Name Entry (Arcade ver.) / TEKKEN,TEKKEN,781962569,375925336,68,13,81
13,Character Select (Console ver.) / TEKKEN,TEKKEN,846504237,213141311,1,7,8
14,"Marine Stadium, Japan (Console ver.) / TEKKEN",TEKKEN,85789905,742541148,45,41,86
15,"Chicago, U.S.A. (Console ver.) / TEKKEN",TEKKEN,494563091,657905923,6,68,74
16,"Sichuan, China (Console ver.) / TEKKEN",TEKKEN,279884465,624593144,30,57,87
17,"Angkor Wat, Cambodia (Console ver.) / TEKKEN",TEKKEN,609641461,1022614216,2,127,129
18,Fiji (Console ver.) / TEKKEN,TEKKEN,34017780,131658077,1,54,55
19,"Acropolis, Greece (Console ver.) / TEKKEN",TEKKEN,1069842962,851498868,4,58,62
20,"Kyoto, Japan (Console ver.) / TEKKEN",TEKKEN,603916912,441246843,22,70,92
21,"King George Island, Antarctica (Console ver.) / TEKKEN",TEKKEN,122269664,375018484,77,78,155
22,"Venezia, Italy (Console ver.) / TEKKEN",TEKKEN,719112983,48812042,64,47,111
23,"Windermere, U.K. (Console ver.) / TEKKEN",TEKKEN,48637221,677553554,2,53,55
24,"Monument Valley, U.S.A. (Console ver.) / TEKKEN",TEKKEN,187442805,373195288,44,187,231
25,Staff Roll (Console ver.) / TEKKEN,TEKKEN,981955427,1057902125,0,69,69
26,Name Entry (Console ver.) / TEKKEN,TEKKEN,358322340,662247494,27,27,54
27,Fighter Select / TEKKEN 2,TEKKEN 2,21369112,1057081310,1,15,16
28,"Michelle Chang, Wandering Female Fighter / TEKKEN 2",TEKKEN 2,868176185,133398824,2,60,62
29,"Lei Wulong, Super Police / TEKKEN 2",TEKKEN 2,804890281,308934273,2,65,67
30,"Marshall Law, Legendary Dragon Again / TEKKEN 2",TEKKEN 2,272403264,161432168,0,50,50
31,"King, Beast Abbe / TEKKEN 2",TEKKEN 2,380107346,256985196,22,66,88
32,"Jun Kazama, Ecological Fighter / TEKKEN 2",TEKKEN 2,733963014,873827336,1,70,71
33,Boss: Middle Class / TEKKEN 2,TEKKEN 2,850466969,471534318,1,62,63
34,"Baek Doo San, Killing Hawk / TEKKEN 2",TEKKEN 2,941749235,370838810,24,41,65
35,"Yoshimitsu, Karakuri Space Ninja / TEKKEN 2",TEKKEN 2,407019220,713662437,2,59,61
36,"Paul Phoenix, Dashing Fighter / TEKKEN 2",TEKKEN 2,935652823,528445197,1,59,60
37,"Jack-2, Super Lethal Weapon / TEKKEN 2",TEKKEN 2,350224474,245046395,29,50,79
38,"Nina Williams, Silent Assassin / TEKKEN 2",TEKKEN 2,496274850,636045875,2,62,64
39,"Heihachi Mishima, the King of Iron Fist / TEKKEN 2",TEKKEN 2,365960007,219868097,2,69,71
40,"Kazuya Mishima, Devil Kazuya / TEKKEN 2",TEKKEN 2,402812128,1062219579,2,61,63
41,Ending: Sound Track / TEKKEN 2,TEKKEN 2,318712520,397016225,0,79,79
